VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
JTMABABA8P,King,Seatac,WA,98148,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.32863 47.46233),-122.32863,47.46233
5YJ3E1EA7J,King,Seattle,WA,98122,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.30839 47.610365),-122.30839,47.610365
1FADP5EU3H,King,Seattle,WA,98105,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,POINT (-122.319115 47.66132),-122.319115,47.66132
7SAYGDEE3P,King,Seattle,WA,98199,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.394185 47.639195),-122.394185,47.639195
1C4JJXR66P,Kitsap,Bremerton,WA,98310,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.611365 47.575195),-122.611365,47.575195
5YJXCBE24G,King,Bellevue,WA,98005,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-122.16085 47.624515),-122.16085,47.624515
KMHE54L20G,King,Tukwila,WA,98188,2016,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,0,POINT (-122.29179 47.43473),-122.29179,47.43473
7SAYGDEE0P,King,Bellevue,WA,98008,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.11832 47.6245),-122.11832,47.6245
5YJ3E1EAXP,King,Kent,WA,98030,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.199755 47.37483),-122.199755,47.37483
1C4JJXP63P,King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.29179 47.43473),-122.29179,47.43473
