VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
1C4JJXP68P,Snohomish,Edmonds,WA,98026,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.335685 47.80372),-122.335685,47.80372
1N4AZ1CV1N,Snohomish,Bothell,WA,98021,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.179458 47.802589),-122.179458,47.802589
JTMFB3FV1M,Snohomish,Everett,WA,98203,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,POINT (-122.213105 47.95479),-122.213105,47.95479
1G1RA6S55H,Kittitas,Cle Elum,WA,98922,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,POINT (-120.938305 47.195355),-120.938305,47.195355
5YJSA1E20J,King,Mercer Island,WA,98040,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,POINT (-122.2377542 47.582905),-122.2377542,47.582905
7SAYGDEE1P,Spokane,Spokane,WA,99206,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.24549 47.6534),-117.24549,47.6534
1FADP5CU7D,Benton,Richland,WA,99354,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-119.28753 46.29747),-119.28753,46.29747
KNDCD3LD8K,Whatcom,Bellingham,WA,98229,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,POINT (-122.4569227 48.7470973),-122.4569227,48.7470973
1G1FX6S09J,King,Burien,WA,98148,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.32863 47.46233),-122.32863,47.46233
1V2GNPE89P,Snohomish,Lynnwood,WA,98087,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
2C4RC1L74N,King,Redmond,WA,98052,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-122.12302 47.67668),-122.12302,47.67668
7SAYGAEE3N,Snohomish,Edmonds,WA,98026,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.335685 47.80372),-122.335685,47.80372
5YJ3E1EC1P,Thurston,Olympia,WA,98513,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.817545 46.98876),-122.817545,46.98876
3FMTK3SU3M,Whatcom,Bellingham,WA,98226,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.45493 48.76809),-122.45493,48.76809
JTDKN3DP0D,King,Seattle,WA,98122,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,POINT (-122.30839 47.610365),-122.30839,47.610365
5YJSA1E21F,Pierce,Tacoma,WA,98445,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,POINT (-122.40872 47.165675),-122.40872,47.165675
1N4BZ0CP8G,Island,Coupeville,WA,98239,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,POINT (-122.6880708 48.2179983),-122.6880708,48.2179983
5YJ3E1EBXN,King,North Bend,WA,98045,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.7814012 47.4935316),-121.7814012,47.4935316
1N4AZ1BV4M,Clark,Vancouver,WA,98665,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.66592 45.678565),-122.66592,45.678565
1C4JJXP67P,Snohomish,Bothell,WA,98021,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.179458 47.802589),-122.179458,47.802589
7SAYGDEE4P,Douglas,East Wenatchee,WA,98802,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-120.28674 47.4176),-120.28674,47.4176
WA1VABGE7K,King,Mercer Island,WA,98040,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,POINT (-122.2377542 47.582905),-122.2377542,47.582905
7SAYGAEE7N,Grant,Coulee City,WA,99115,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-119.29021 47.6128),-119.29021,47.6128
1G1FY6S05K,King,Kent,WA,98030,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.199755 47.37483),-122.199755,47.37483
5YJ3E1EA5K,King,Issaquah,WA,98027,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.03646 47.534065),-122.03646,47.534065
5YJSA1E20J,King,Shoreline,WA,98133,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,POINT (-122.34584 47.76726),-122.34584,47.76726
5YJ3E1EA2K,Snohomish,Mill Creek,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.1873 47.820245),-122.1873,47.820245
1G1FZ6S00N,King,Preston,WA,98027,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.03646 47.534065),-122.03646,47.534065
5YJYGDEE1M,King,Bellevue,WA,98006,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.16937 47.571015),-122.16937,47.571015
1G1RD6S54H,Snohomish,Snohomish,WA,98296,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,POINT (-122.15134 47.8851158),-122.15134,47.8851158
1G1RB6S59J,Lewis,Toledo,WA,98591,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,POINT (-122.846675 46.44142),-122.846675,46.44142
3FA6P0SU4E,King,Issaquah,WA,98029,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-121.9993659 47.5484866),-121.9993659,47.5484866
5YJ3E1EA1P,King,Bothell,WA,98011,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.20578 47.762405),-122.20578,47.762405
7SAYGDEE1N,Clark,Vancouver,WA,98661,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.641835 45.638545),-122.641835,45.638545
1C4JJXP62P,Pierce,Tacoma,WA,98445,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.40872 47.165675),-122.40872,47.165675
7SAYGDEF8P,King,North Bend,WA,98045,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.7814012 47.4935316),-121.7814012,47.4935316
5YJ3E1EB5M,Pierce,Puyallup,WA,98374,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.275748 47.1395924),-122.275748,47.1395924
SALWV2RYXL,King,Redmond,WA,98053,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
LPSED3KA6M,Lewis,Centralia,WA,98531,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,POINT (-122.962555 46.716875),-122.962555,46.716875
1G1FZ6S02M,Skagit,Bow,WA,98232,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.440636 48.5613885),-122.440636,48.5613885
7FCEHDB71N,Kitsap,Bremerton,WA,98312,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.65223 47.57192),-122.65223,47.57192
JHMZC5F39J,Benton,Kennewick,WA,99337,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,POINT (-119.14533 46.187395),-119.14533,46.187395
7SAYGAEE6P,Snohomish,Edmonds,WA,98026,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.335685 47.80372),-122.335685,47.80372
5YJ3E1EA0L,San Diego,Chula Vista,CA,91913,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,POINT (-116.979155 32.627645),-116.979155,32.627645
3FMTK4SE5M,Snohomish,Lake Stevens,WA,98258,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.112265 48.0047),-122.112265,48.0047
KM8KNDAF5P,Kitsap,Silverdale,WA,98383,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.668076 47.665978),-122.668076,47.665978
5YJ3E1EA9P,King,Seattle,WA,98178,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.234385 47.494545),-122.234385,47.494545
7SAYGDEF6N,King,Woodinville,WA,98072,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.151665 47.75855),-122.151665,47.75855
1N4AZ1BV6N,Snohomish,Edmonds,WA,98026,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.335685 47.80372),-122.335685,47.80372
5YJYGDEF8L,Pierce,Gig Harbor,WA,98329,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,POINT (-122.6657985 47.383359),-122.6657985,47.383359
YV4H60DW8P,Pierce,Lakewood,WA,98499,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,POINT (-122.5181098 47.1712579),-122.5181098,47.1712579
1G1FZ6S03K,Klickitat,Trout Lake,WA,98650,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-121.533271 45.9938407),-121.533271,45.9938407
5YJ3E1EA1M,Snohomish,Brier,WA,98036,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.316675 47.819365),-122.316675,47.819365
5YJXCBE25H,King,Redmond,WA,98053,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
7SAXCDE50P,Skagit,Burlington,WA,98233,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.33079 48.474765),-122.33079,48.474765
JF2GTDNC5K,Douglas,East Wenatchee,WA,98802,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,POINT (-120.28674 47.4176),-120.28674,47.4176
3FMTK4SE6P,Pierce,Puyallup,WA,98375,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.3085456 47.1042426),-122.3085456,47.1042426
1V2WNPE82P,Snohomish,Marysville,WA,98270,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.17673 48.05542),-122.17673,48.05542
7FCTGAAAXP,Whatcom,Sedro Woolley,WA,98284,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.234 48.506125),-122.234,48.506125
KNDC34LB0P,Pierce,Lakewood,WA,98499,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5181098 47.1712579),-122.5181098,47.1712579
7SAYGAEE0N,King,Redmond,WA,98052,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.12302 47.67668),-122.12302,47.67668
7SAYGDEE2P,King,Redmond,WA,98052,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.12302 47.67668),-122.12302,47.67668
7SAYGDEE0P,King,Duvall,WA,98019,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9810747 47.7377962),-121.9810747,47.7377962
WBY1Z4C58G,Island,Clinton,WA,98236,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,POINT (-122.359364 47.9796552),-122.359364,47.9796552
W1KEG2CB0P,King,Renton,WA,98058,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
2C4RC1L79N,Thurston,Lacey,WA,98513,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-122.817545 46.98876),-122.817545,46.98876
7PDSGABA9P,Grays Harbor,Hoquiam,WA,98550,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-123.8868787 46.9805308),-123.8868787,46.9805308
5YJSA1E25H,Thurston,Olympia,WA,98502,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,POINT (-122.92145 47.045935),-122.92145,47.045935
5YJ3E1EA2L,King,Issaquah,WA,98027,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,POINT (-122.03646 47.534065),-122.03646,47.534065
5YJYGDEE4M,Clark,Vancouver,WA,98685,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.70302 45.703706),-122.70302,45.703706
1N4AZ1BP0L,Snohomish,Edmonds,WA,98026,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,POINT (-122.335685 47.80372),-122.335685,47.80372
1N4AZ1CP6K,King,Seattle,WA,98104,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,POINT (-122.329075 47.6018),-122.329075,47.6018
JTDKARFP3J,Spokane,Spokane,WA,99217,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-117.357575 47.68465),-117.357575,47.68465
7SAYGDEF1P,Clark,Vancouver,WA,98685,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.70302 45.703706),-122.70302,45.703706
JA4T5VA95P,Whatcom,Bellingham,WA,98226,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-122.45493 48.76809),-122.45493,48.76809
5LMTJ5DZ8N,Snohomish,Lake Stevens,WA,98258,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,0,POINT (-122.112265 48.0047),-122.112265,48.0047
YV4BR00L9M,Okanogan,Winthrop,WA,98862,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,POINT (-120.1774093 48.4741766),-120.1774093,48.4741766
4JGGM1CBXP,King,Duvall,WA,98019,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9810747 47.7377962),-121.9810747,47.7377962
5YJ3E1EB8K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
YV4ED3UW0P,King,Seattle,WA,98144,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30823 47.581975),-122.30823,47.581975
7SAYGDEF6P,Kitsap,Bainbridge Island,WA,98110,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5235781 47.6293323),-122.5235781,47.6293323
5YJ3E1EA7L,Clark,Vancouver,WA,98662,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,POINT (-122.5918493 45.6617058),-122.5918493,45.6617058
2C4RC1L76N,Charleston,Charleston Afb,SC,29404,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-80.05572 32.89661),-80.05572,32.89661
1C4RJYB62P,Snohomish,Woodway,WA,98020,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.37507 47.80807),-122.37507,47.80807
3FMTK4SX9P,King,Issaquah,WA,98027,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.03646 47.534065),-122.03646,47.534065
5YJ3E1EA4M,King,Seattle,WA,98136,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.388675 47.5415),-122.388675,47.5415
1C4RJYB68P,Pierce,Steilacoom,WA,98388,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.5970685 47.1686632),-122.5970685,47.1686632
1N4BZ1CP6K,King,Kirkland,WA,98034,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,POINT (-122.209285 47.71124),-122.209285,47.71124
1N4AZ0CP5F,Yakima,Yakima,WA,98908,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,POINT (-120.6027202 46.5965625),-120.6027202,46.5965625
7SAYGDEEXP,King,Redmond,WA,98053,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
1N4BZ0CP9H,Grays Harbor,Hoquiam,WA,98550,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,POINT (-123.8868787 46.9805308),-123.8868787,46.9805308
JA4J24A54K,Thurston,Olympia,WA,98501,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,POINT (-122.89692 47.043535),-122.89692,47.043535
WVWKP7AU8G,King,Seattle,WA,98102,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,POINT (-122.32226 47.64058),-122.32226,47.64058
7SAYGDEF9N,King,Seattle,WA,98136,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.388675 47.5415),-122.388675,47.5415
7SAYGDEE1P,Pierce,Ruston,WA,98407,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5113356 47.2923828),-122.5113356,47.2923828
