VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
5YJ3E1EA4P,Snohomish,Monroe,WA,98272,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.972215 47.85674),-121.972215,47.85674
5YJSA1E51N,King,Kirkland,WA,98033,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.20264 47.6785),-122.20264,47.6785
7SAYGDEE8N,King,Duvall,WA,98019,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9810747 47.7377962),-121.9810747,47.7377962
7SAYGDEE0P,Snohomish,Edmonds,WA,98026,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.335685 47.80372),-122.335685,47.80372
1N4BZ1CP1L,King,Seattle,WA,98117,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.37275 47.68968),-122.37275,47.68968
5YJ3E1EA2P,Spokane,Spokane Valley,WA,99016,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.1407 47.673675),-117.1407,47.673675
1N4AZ1BV1N,King,Vashon,WA,98070,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.46049 47.44873),-122.46049,47.44873
5YJYGDEE5M,Whatcom,Lynden,WA,98264,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.4584536 48.9461196),-122.4584536,48.9461196
3FMTK3SUXM,Pierce,South Hill,WA,98373,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2987976 47.13795),-122.2987976,47.13795
1C4JJXP60P,Island,Coupeville,WA,98239,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.6880708 48.2179983),-122.6880708,48.2179983
5YJ3E1EB4N,Snohomish,Snohomish,WA,98290,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.091505 47.915555),-122.091505,47.915555
5YJ3E1EBXN,Snohomish,Gold Bar,WA,98251,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.69427 47.858175),-121.69427,47.858175
WA1E2AFY7N,King,Kirkland,WA,98033,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,POINT (-122.20264 47.6785),-122.20264,47.6785
7SAYGDEF1N,Pierce,Gig Harbor,WA,98329,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.6657985 47.383359),-122.6657985,47.383359
5YJ3E1EA2P,King,Seattle,WA,98146,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.355145 47.505655),-122.355145,47.505655
KM8JBDD23R,Snohomish,Bothell,WA,98012,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,POINT (-122.1873 47.820245),-122.1873,47.820245
5YJ3E1EB3P,Grays Harbor,Aberdeen,WA,98520,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-123.8206 46.97789),-123.8206,46.97789
