VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
KNDPZDAH1P,Whatcom,Bellingham,WA,98229,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,POINT (-122.4569227 48.7470973),-122.4569227,48.7470973
7SAYGDEE4P,Kittitas,Ellensburg,WA,98926,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-120.54513 46.993465),-120.54513,46.993465
7SAYGDEE2N,Snohomish,Mukilteo,WA,98275,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.299965 47.94171),-122.299965,47.94171
1G1RD6E46B,Snohomish,Lynnwood,WA,98087,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
5UXTA6C08P,Kitsap,Bainbridge Island,WA,98110,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,POINT (-122.5235781 47.6293323),-122.5235781,47.6293323
3FA6P0PU0G,King,Kirkland,WA,98034,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.209285 47.71124),-122.209285,47.71124
WVGUNPE25N,King,Renton,WA,98058,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
YV4BR0CZ5N,Howard,Ellicott City,MD,21042,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,POINT (-76.83207 39.276485),-76.83207,39.276485
5YJXCBE48G,Pierce,Tacoma,WA,98422,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-122.38578 47.28971),-122.38578,47.28971
1FADP5CU0F,King,Auburn,WA,98001,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.2849393 47.3384055),-122.2849393,47.3384055
