VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
YV4ED3UB4N,King,Seattle,WA,98112,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30764 47.62523),-122.30764,47.62523
1G1FY6S08N,King,Seattle,WA,98125,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.296385 47.71558),-122.296385,47.71558
5YJ3E1EA5P,King,Tukwila,WA,98168,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.286465 47.476),-122.286465,47.476
3FA6P0PU8G,King,Tukwila,WA,98168,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.286465 47.476),-122.286465,47.476
5YJ3E1EB9K,King,Woodinville,WA,98072,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.151665 47.75855),-122.151665,47.75855
KNDJP3AE1H,King,Seattle,WA,98125,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,POINT (-122.296385 47.71558),-122.296385,47.71558
KNDCC3LG0K,King,Kirkland,WA,98034,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,POINT (-122.209285 47.71124),-122.209285,47.71124
7SAYGDEEXP,King,Renton,WA,98055,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.197 47.43876),-122.197,47.43876
5YJSA1E21H,King,Bothell,WA,98011,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,POINT (-122.20578 47.762405),-122.20578,47.762405
JTDKARFP5J,Kitsap,Bremerton,WA,98310,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.611365 47.575195),-122.611365,47.575195
5YJ3E1EA7M,King,Renton,WA,98058,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
1G1FZ6S07P,King,Bellevue,WA,98006,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.16937 47.571015),-122.16937,47.571015
5YJSA1E2XG,King,Seattle,WA,98177,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,POINT (-122.382425 47.77279),-122.382425,47.77279
1FTVW1EV5P,King,Bellevue,WA,98005,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.16085 47.624515),-122.16085,47.624515
WA1L2BFZ3R,Clark,Camas,WA,98607,2024,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.405565 45.59009),-122.405565,45.59009
5YJ3E1EB9N,Thurston,Yelm,WA,98597,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.61023 46.94126),-122.61023,46.94126
5YJ3E1EB0J,King,Burien,WA,98168,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.286465 47.476),-122.286465,47.476
1G1FX6S09H,Clark,Woodland,WA,98674,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.73125 45.923065),-122.73125,45.923065
1N4AZ1BV8P,King,Bellevue,WA,98006,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.16937 47.571015),-122.16937,47.571015
1N4AZ0CP5G,Kitsap,Bremerton,WA,98312,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,POINT (-122.65223 47.57192),-122.65223,47.57192
