VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
KMHM34AC6P,King,Seattle,WA,98106,2023,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.356145 47.52104),-122.356145,47.52104
JTDKARFP9H,Whatcom,Point Roberts,WA,98281,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-123.0651 48.98823),-123.0651,48.98823
3FMTK3SU1M,Mason,Grapeview,WA,98546,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.9529423 47.3248964),-122.9529423,47.3248964
LYVBR0DL8K,Snohomish,Marysville,WA,98270,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,POINT (-122.17673 48.05542),-122.17673,48.05542
YV4BC0PL5H,King,Bellevue,WA,98027,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,POINT (-122.03646 47.534065),-122.03646,47.534065
7SAYGDEE0P,King,Issaquah,WA,98027,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.03646 47.534065),-122.03646,47.534065
1FADP5CU7E,King,Sammamish,WA,98075,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.03309 47.58153),-122.03309,47.58153
7SAYGDEE9P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1873 47.820245),-122.1873,47.820245
1G1FW6S03N,Kitsap,Bainbridge Island,WA,98110,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5235781 47.6293323),-122.5235781,47.6293323
5YJ3E1EA2P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.179458 47.802589),-122.179458,47.802589
WVWPR7AU1K,King,Maple Valley,WA,98038,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,POINT (-122.05191 47.357985),-122.05191,47.357985
5YJSA1E50N,Whitman,Pullman,WA,99163,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.17912 46.730885),-117.17912,46.730885
JF2GTDNC6K,Snohomish,Bothell,WA,98021,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,POINT (-122.179458 47.802589),-122.179458,47.802589
JTDKAMFP2N,Thurston,Olympia,WA,98501,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.89692 47.043535),-122.89692,47.043535
1G1FY6S09P,Snohomish,Everett,WA,98208,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2247757 47.9156409),-122.2247757,47.9156409
3FMTK1RM7M,Pierce,Orting,WA,98360,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2032237 47.0942956),-122.2032237,47.0942956
WBY1Z2C50G,King,Redmond,WA,98053,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
JTMEB3FV8P,Pierce,Tacoma,WA,98445,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,POINT (-122.40872 47.165675),-122.40872,47.165675
5YJ3E1EB0J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.03646 47.534065),-122.03646,47.534065
7SAXCBE66P,Clark,Vancouver,WA,98660,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.675975 45.630465),-122.675975,45.630465
1G1RF6E43E,Skamania,Washougal,WA,98671,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-122.35465 45.58359),-122.35465,45.58359
JTDKARFP8H,Pierce,Tacoma,WA,98407,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.5113356 47.2923828),-122.5113356,47.2923828
4JGDA6DB9H,King,Seatac,WA,98198,2017,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,POINT (-122.3219166 47.4013897),-122.3219166,47.4013897
2C4RC1L7XM,King,Renton,WA,98057,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-122.21024 47.4797047),-122.21024,47.4797047
7SAYGDEF9N,Snohomish,Mukilteo,WA,98275,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.299965 47.94171),-122.299965,47.94171
7PDSGABA4P,Snohomish,Bothell,WA,98021,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.179458 47.802589),-122.179458,47.802589
1G1RB6S54H,Walla Walla,College Place,WA,99324,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,POINT (-118.38409 46.043895),-118.38409,46.043895
7PDSGABA4P,Yakima,Yakima,WA,98908,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-120.6027202 46.5965625),-120.6027202,46.5965625
KNDC3DLC4P,Island,Camano Island,WA,98282,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5310901 48.2192797),-122.5310901,48.2192797
5UXKT0C5XG,Pierce,Fircrest,WA,98466,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,POINT (-122.537565 47.231645),-122.537565,47.231645
5YJ3E1EB1K,Skagit,Anacortes,WA,98221,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.615305 48.501275),-122.615305,48.501275
5YJXCDE29J,King,Mercer Island,WA,98040,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.2377542 47.582905),-122.2377542,47.582905
5YJYGDEE6L,Miami-Dade,Miami,FL,33131,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,POINT (-80.190645 25.765985),-80.190645,25.765985
5YJSA4H4XF,Franklin,Pasco,WA,99301,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,POINT (-119.0982 46.232395),-119.0982,46.232395
5YJSA1H27F,Thurston,Olympia,WA,98501,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,POINT (-122.89692 47.043535),-122.89692,47.043535
LYVBR0DL0J,Spokane,Spokane Valley,WA,99206,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,POINT (-117.24549 47.6534),-117.24549,47.6534
1FADP5CU6G,Thurston,Olympia,WA,98512,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.9131017 47.0135926),-122.9131017,47.0135926
KM8KNDAF9P,Lewis,Centralia,WA,98531,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.962555 46.716875),-122.962555,46.716875
5YJ3E1EC0L,Island,Camano Island,WA,98282,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,POINT (-122.5310901 48.2192797),-122.5310901,48.2192797
5YJXCDE25H,Spokane,Spokane,WA,99202,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-117.383045 47.661935),-117.383045,47.661935
5YJ3E1EB7N,Pierce,Buckley,WA,98321,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.029685 47.161465),-122.029685,47.161465
5YJYGDED9M,Snohomish,Lynnwood,WA,98087,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
5YJSA1E26H,King,Bellevue,WA,98006,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,POINT (-122.16937 47.571015),-122.16937,47.571015
1FTVW1EV5P,Chelan,Leavenworth,WA,98826,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-120.6619153 47.5970083),-120.6619153,47.5970083
3FMTK3SU9M,King,Carnation,WA,98014,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9105947 47.6483005),-121.9105947,47.6483005
7SAXCDE5XP,King,Redmond,WA,98053,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
1N4AZ1CP4L,King,Redmond,WA,98053,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,POINT (-122.0222799 47.6958998),-122.0222799,47.6958998
KNDJX3AE5G,San Juan,Eastsound,WA,98245,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,POINT (-122.907229 48.7016716),-122.907229,48.7016716
5YJYGAEE4M,Walla Walla,Walla Walla,WA,99362,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-118.34332 46.063985),-118.34332,46.063985
7SAYGDEE0N,Spokane,Spokane,WA,99205,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.42694 47.67946),-117.42694,47.67946
YV4ED3UR9N,Pierce,Tacoma,WA,98402,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.44131 47.25207),-122.44131,47.25207
7SAYGDEFXP,Skagit,Anacortes,WA,98221,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.615305 48.501275),-122.615305,48.501275
3FA6P0SU1E,King,Kent,WA,98030,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,POINT (-122.199755 47.37483),-122.199755,47.37483
1G1FZ6S09P,Pierce,Gig Harbor,WA,98335,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.5835454 47.3234488),-122.5835454,47.3234488
1C4JJXP69P,Island,Camano Island,WA,98282,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.5310901 48.2192797),-122.5310901,48.2192797
5UXTA6C04N,Snohomish,Edmonds,WA,98020,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,POINT (-122.37507 47.80807),-122.37507,47.80807
3MW5P9J07N,King,Seatac,WA,98188,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,POINT (-122.29179 47.43473),-122.29179,47.43473
7SAYGDEE9P,Snohomish,Monroe,WA,98272,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.972215 47.85674),-121.972215,47.85674
5YJSA1H11E,Spokane,Spokane,WA,99217,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,POINT (-117.357575 47.68465),-117.357575,47.68465
3FMTK3SU8P,Spokane,Spokane,WA,99224,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.460225 47.64927),-117.460225,47.64927
1G1FW6S04H,Island,Langley,WA,98260,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.408015 48.03557),-122.408015,48.03557
5YJ3E1EC9N,Snohomish,Everett,WA,98203,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.213105 47.95479),-122.213105,47.95479
7SAYGDEE4N,Mason,Shelton,WA,98584,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-123.105305 47.211085),-123.105305,47.211085
7SAYGDEF6N,Snohomish,Marysville,WA,98270,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.17673 48.05542),-122.17673,48.05542
5YJ3E1EA7J,Benton,Kennewick,WA,99338,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-119.1973001 46.1911488),-119.1973001,46.1911488
5YJ3E1EB1P,King,Seattle,WA,98121,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.344125 47.61546),-122.344125,47.61546
WA1AAAGE7N,Whatcom,Bellingham,WA,98225,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.486115 48.761615),-122.486115,48.761615
5YJSA1CG3D,Snohomish,Bothell,WA,98012,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,POINT (-122.1873 47.820245),-122.1873,47.820245
5YJSA1E52M,Benton,Kennewick,WA,99336,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-119.113535 46.204945),-119.113535,46.204945
