VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
1N4CZ1CVXP,King,Seattle,WA,98112,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30764 47.62523),-122.30764,47.62523
5YJ3E1EB5K,Grant,Moses Lake,WA,98837,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-119.2599876 47.1240154),-119.2599876,47.1240154
YV4ED3UR1M,King,Renton,WA,98059,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.15734 47.487175),-122.15734,47.487175
7SAYGDEE3P,King,Renton,WA,98058,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
7SAYGDEE4P,King,Snoqualmie,WA,98065,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.8740496 47.5345546),-121.8740496,47.5345546
5YJ3E1EAXJ,King,Auburn,WA,98092,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.1820969 47.3198995),-122.1820969,47.3198995
5YJ3E1EBXN,Kittitas,Ellensburg,WA,98926,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-120.54513 46.993465),-120.54513,46.993465
JTDKARFP2J,Kitsap,Poulsbo,WA,98370,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.64177 47.737525),-122.64177,47.737525
3FA6P0SU6H,King,Kenmore,WA,98028,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-122.2504747 47.7617128),-122.2504747,47.7617128
7SAYGAEE7N,Clallam,Sequim,WA,98382,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-123.105015 48.08125),-123.105015,48.08125
7SAYGDEF0N,Snohomish,Marysville,WA,98271,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1713847 48.10433),-122.1713847,48.10433
7SAYGDEE2P,Snohomish,Lynnwood,WA,98087,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
7SAYGDEE1N,Pierce,Buckley,WA,98321,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.029685 47.161465),-122.029685,47.161465
5YJ3E1EB2K,King,Issaquah,WA,98029,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-121.9993659 47.5484866),-121.9993659,47.5484866
7SAYGDEE0P,King,Kirkland,WA,98033,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.20264 47.6785),-122.20264,47.6785
7SAYGDEE2P,King,Kenmore,WA,98028,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.2504747 47.7617128),-122.2504747,47.7617128
7SAYGAEE0P,King,North Bend,WA,98045,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.7814012 47.4935316),-121.7814012,47.4935316
YV4H60CW3P,King,Seattle,WA,98119,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-122.363815 47.63046),-122.363815,47.63046
5YJYGDEE8M,Grant,Moses Lake,WA,98837,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-119.2599876 47.1240154),-119.2599876,47.1240154
1N4AZ0CP9D,Pierce,Tacoma,WA,98406,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,POINT (-122.490985 47.26365),-122.490985,47.26365
2C4RC1N70J,King,Woodinville,WA,98072,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,POINT (-122.151665 47.75855),-122.151665,47.75855
5YJYGDEE9M,King,Bellevue,WA,98004,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.201905 47.61385),-122.201905,47.61385
WA1LAAGE7K,Clark,Vancouver,WA,98664,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,POINT (-122.589388 45.6228731),-122.589388,45.6228731
3FMTK3SS3M,Snohomish,Stanwood,WA,98292,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.3684051 48.2414921),-122.3684051,48.2414921
1C4JJXR63M,Walla Walla,Walla Walla,WA,99362,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,POINT (-118.34332 46.063985),-118.34332,46.063985
5YJXCAE23J,King,Medina,WA,98039,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.228025 47.61598),-122.228025,47.61598
5YJ3E1EA7M,King,Seattle,WA,98122,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30839 47.610365),-122.30839,47.610365
